school,demo,table,name,label,value,percentage,concept
1,Age,B01001,B01001_045,Age_Female_67_To_69_Years,1811,0.0161,SEX BY AGE
1,Age,B01001,B01001_046,Age_Female_70_To_74_Years,2514,0.0223,SEX BY AGE
1,Age,B01001,B01001_047,Age_Female_75_To_79_Years,1946,0.0173,SEX BY AGE
1,Age,B01001,B01001_048,Age_Female_80_To_84_Years,1583,0.014,SEX BY AGE
1,Age,B01001,B01001_049,Age_Female_85_Years_And_Over,2046,0.0181,SEX BY AGE
1,Median Age,B01002,B01002_001,MedianAge_Age,37.95,NA,MEDIAN AGE BY SEX
1,Median Age,B01002,B01002_002,MedianAge_Age_Male,36.304545454545455,NA,MEDIAN AGE BY SEX
1,Median Age,B01002,B01002_003,MedianAge_Age_Female,39.45909090909091,NA,MEDIAN AGE BY SEX
1,Total Population,B01003,B01003_001,TotalPopulation,112770,1,TOTAL POPULATION
1,Race,B03002,B03002_001,Race,112770,1,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_002,Race_Not_Hispanic_Or_Latino,80366,0.7127,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_003,Race_Not_Hispanic_Or_Latino_White_Alone,43800,0.3884,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_004,Race_Not_Hispanic_Or_Latino_Black_Or_African_American_Alone,10710,0.095,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_005,Race_Not_Hispanic_Or_Latino_American_Indian_And_Alaska_Native_Alone,207,0.0018,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_006,Race_Not_Hispanic_Or_Latino_Asian_Alone,23112,0.2049,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_007,Race_Not_Hispanic_Or_Latino_Native_Hawaiian_And_Other_Pacific_Islander_Alone,22,2e-4,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_008,Race_Not_Hispanic_Or_Latino_Some_Other_Race_Alone,133,0.0012,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_009,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races,2382,0.0211,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_010,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Including_Some_Other_Race,160,0.0014,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_011,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Excluding_Some_Other_Race_And_Three_Or_More_Races,2222,0.0197,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_012,Race_Hispanic_Or_Latino,32404,0.2873,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_013,Race_Hispanic_Or_Latino_White_Alone,12993,0.1152,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_014,Race_Hispanic_Or_Latino_Black_Or_African_American_Alone,1477,0.0131,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_015,Race_Hispanic_Or_Latino_American_Indian_And_Alaska_Native_Alone,274,0.0024,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_016,Race_Hispanic_Or_Latino_Asian_Alone,229,0.002,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_017,Race_Hispanic_Or_Latino_Native_Hawaiian_And_Other_Pacific_Islander_Alone,0,0,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_018,Race_Hispanic_Or_Latino_Some_Other_Race_Alone,15179,0.1346,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_019,Race_Hispanic_Or_Latino_Two_Or_More_Races,2252,0.02,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_020,Race_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Including_Some_Other_Race,457,0.0041,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_021,Race_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Excluding_Some_Other_Race_And_Three_Or_More_Races,1795,0.0159,HISPANIC OR LATINO ORIGIN BY RACE
1,Household Type,B11001,B11001_001,HouseholdType,54396,1,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_002,HouseholdType_Family_Households,20057,0.36870000000000003,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_003,HouseholdType_Family_Households_Married_Couple_Family,11043,0.203,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_004,HouseholdType_Family_Households_Other_Family,9014,0.1657,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_005,HouseholdType_Family_Households_Other_Family_Male_Householder_No_Spouse_Present,1802,0.0331,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_006,HouseholdType_Family_Households_Other_Family_Female_Householder_No_Spouse_Present,7212,0.1326,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_007,HouseholdType_Nonfamily_Households,34339,0.6313,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_008,HouseholdType_Nonfamily_Households_Householder_Living_Alone,27354,0.5029,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_009,HouseholdType_Nonfamily_Households_Householder_Not_Living_Alone,6985,0.1284,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Marital Status,B12001,B12001_001,MaritalStatus,102932,1,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_002,MaritalStatus_Male,49206,0.478,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_003,MaritalStatus_Male_Never_Married,30946,0.3006,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_004,MaritalStatus_Male_Now_Married,14470,0.1406,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_005,MaritalStatus_Male_Now_Married_Married_Spouse_Present,12453,0.121,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_006,MaritalStatus_Male_Now_Married_Married_Spouse_Absent,2017,0.0196,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_007,MaritalStatus_Male_Now_Married_Married_Spouse_Absent_Separated,718,0.007,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_008,MaritalStatus_Male_Now_Married_Married_Spouse_Absent_Other,1299,0.0126,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_009,MaritalStatus_Male_Widowed,1393,0.0135,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_010,MaritalStatus_Male_Divorced,2397,0.0233,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_011,MaritalStatus_Female,53726,0.522,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_012,MaritalStatus_Female_Never_Married,28719,0.279,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_013,MaritalStatus_Female_Now_Married,14839,0.1442,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_014,MaritalStatus_Female_Now_Married_Married_Spouse_Present,11286,0.1096,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_015,MaritalStatus_Female_Now_Married_Married_Spouse_Absent,3553,0.0345,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_016,MaritalStatus_Female_Now_Married_Married_Spouse_Absent_Separated,1797,0.0175,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_017,MaritalStatus_Female_Now_Married_Married_Spouse_Absent_Other,1756,0.0171,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_018,MaritalStatus_Female_Widowed,4953,0.0481,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_019,MaritalStatus_Female_Divorced,5215,0.0507,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Education,B15003,B15003_001,Education,85688,1,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_002,Education_No_Schooling_Completed,2633,0.0307,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_003,Education_Nursery_School,71,8e-4,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_004,Education_Kindergarten,114,0.0013,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_005,Education_1st_Grade,103,0.0012,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_006,Education_2nd_Grade,97,0.0011,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_007,Education_3rd_Grade,645,0.0075,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_008,Education_4th_Grade,520,0.0061,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_009,Education_5th_Grade,591,0.0069,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_010,Education_6th_Grade,3093,0.0361,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_011,Education_7th_Grade,1046,0.0122,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_012,Education_8th_Grade,1443,0.0168,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_013,Education_9th_Grade,2148,0.0251,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_014,Education_10th_Grade,1494,0.0174,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_015,Education_11th_Grade,1424,0.0166,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_016,Education_12th_Grade_No_Diploma,2157,0.0252,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_017,Education_Regular_High_School_Diploma,12552,0.1465,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_018,Education_Ged_Or_Alternative_Credential,2195,0.0256,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_019,Education_Some_College_Less_Than_1_Year,2194,0.0256,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_020,Education_Some_College_1_Or_More_Years_No_Degree,7020,0.0819,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_021,Education_Associates_Degree,3730,0.0435,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_022,Education_Bachelors_Degree,26882,0.3137,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_023,Education_Masters_Degree,9704,0.1132,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_024,Education_Professional_School_Degree,2118,0.0247,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_025,Education_Doctorate_Degree,1714,0.02,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Language,B16001,B16001_001,Language,116028,1,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_002,Language_Speak_Only_English,59042,0.5089,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_003,Language_Spanish_Or_Spanish_Creole,28501,0.2456,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_004,Language_Spanish_Or_Spanish_Creole_Speak_English_Very_Well,18000,0.1551,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_005,Language_Spanish_Or_Spanish_Creole_Speak_English_Less_Than_Very_Well,10501,0.0905,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_006,Language_French_Incl._Patois_Cajun,1521,0.0131,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_007,Language_French_Incl._Patois_Cajun_Speak_English_Very_Well,1336,0.0115,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_008,Language_French_Incl._Patois_Cajun_Speak_English_Less_Than_Very_Well,185,0.0016,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_009,Language_French_Creole,51,4e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_010,Language_French_Creole_Speak_English_Very_Well,40,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_011,Language_French_Creole_Speak_English_Less_Than_Very_Well,11,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_012,Language_Italian,401,0.0035,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_013,Language_Italian_Speak_English_Very_Well,388,0.0033,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_014,Language_Italian_Speak_English_Less_Than_Very_Well,13,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_015,Language_Portuguese_Or_Portuguese_Creole,454,0.0039,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_016,Language_Portuguese_Or_Portuguese_Creole_Speak_English_Very_Well,299,0.0026,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_017,Language_Portuguese_Or_Portuguese_Creole_Speak_English_Less_Than_Very_Well,155,0.0013,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_018,Language_German,664,0.0057,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_019,Language_German_Speak_English_Very_Well,597,0.0051,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_020,Language_German_Speak_English_Less_Than_Very_Well,67,6e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_021,Language_Yiddish,121,0.001,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_022,Language_Yiddish_Speak_English_Very_Well,84,7e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_023,Language_Yiddish_Speak_English_Less_Than_Very_Well,37,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_024,Language_Other_West_Germanic_Languages,195,0.0017,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_025,Language_Other_West_Germanic_Languages_Speak_English_Very_Well,195,0.0017,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_026,Language_Other_West_Germanic_Languages_Speak_English_Less_Than_Very_Well,0,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_027,Language_Scandinavian_Languages,307,0.0026,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_028,Language_Scandinavian_Languages_Speak_English_Very_Well,265,0.0023,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_029,Language_Scandinavian_Languages_Speak_English_Less_Than_Very_Well,42,4e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_030,Language_Greek,156,0.0013,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_031,Language_Greek_Speak_English_Very_Well,136,0.0012,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_032,Language_Greek_Speak_English_Less_Than_Very_Well,20,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_033,Language_Russian,651,0.0056,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_034,Language_Russian_Speak_English_Very_Well,327,0.0028,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_035,Language_Russian_Speak_English_Less_Than_Very_Well,324,0.0028,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_036,Language_Polish,885,0.0076,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_037,Language_Polish_Speak_English_Very_Well,560,0.0048,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_038,Language_Polish_Speak_English_Less_Than_Very_Well,325,0.0028,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_039,Language_Serbo_Croatian,66,6e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_040,Language_Serbo_Croatian_Speak_English_Very_Well,62,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_041,Language_Serbo_Croatian_Speak_English_Less_Than_Very_Well,4,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_042,Language_Other_Slavic_Languages,510,0.0044,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_043,Language_Other_Slavic_Languages_Speak_English_Very_Well,365,0.0031,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_044,Language_Other_Slavic_Languages_Speak_English_Less_Than_Very_Well,145,0.0012,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_045,Language_Armenian,32,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_046,Language_Armenian_Speak_English_Very_Well,32,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_047,Language_Armenian_Speak_English_Less_Than_Very_Well,0,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_048,Language_Persian,37,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_049,Language_Persian_Speak_English_Very_Well,37,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_050,Language_Persian_Speak_English_Less_Than_Very_Well,0,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_051,Language_Gujarati,59,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_052,Language_Gujarati_Speak_English_Very_Well,59,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_053,Language_Gujarati_Speak_English_Less_Than_Very_Well,0,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_054,Language_Hindi,405,0.0035,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
