congressional,demo,table,name,label,value,percentage,concept
10,Race,B03002,B03002_002,Race_Not_Hispanic_Or_Latino,596123,0.8673,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_003,Race_Not_Hispanic_Or_Latino_White_Alone,428075,0.6228,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_004,Race_Not_Hispanic_Or_Latino_Black_Or_African_American_Alone,25626,0.0373,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_005,Race_Not_Hispanic_Or_Latino_American_Indian_And_Alaska_Native_Alone,942,0.0014,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_006,Race_Not_Hispanic_Or_Latino_Asian_Alone,123276,0.1794,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_007,Race_Not_Hispanic_Or_Latino_Native_Hawaiian_And_Other_Pacific_Islander_Alone,50,1e-4,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_008,Race_Not_Hispanic_Or_Latino_Some_Other_Race_Alone,2751,0.004,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_009,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races,15403,0.0224,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_010,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Including_Some_Other_Race,864,0.0013,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_011,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Excluding_Some_Other_Race_And_Three_Or_More_Races,14539,0.0212,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_012,Race_Hispanic_Or_Latino,91214,0.1327,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_013,Race_Hispanic_Or_Latino_White_Alone,49849,0.0725,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_014,Race_Hispanic_Or_Latino_Black_Or_African_American_Alone,3418,0.005,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_015,Race_Hispanic_Or_Latino_American_Indian_And_Alaska_Native_Alone,1058,0.0015,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_016,Race_Hispanic_Or_Latino_Asian_Alone,596,9e-4,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_017,Race_Hispanic_Or_Latino_Native_Hawaiian_And_Other_Pacific_Islander_Alone,18,0,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_018,Race_Hispanic_Or_Latino_Some_Other_Race_Alone,31904,0.0464,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_019,Race_Hispanic_Or_Latino_Two_Or_More_Races,4371,0.0064,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_020,Race_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Including_Some_Other_Race,2096,0.003,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_021,Race_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Excluding_Some_Other_Race_And_Three_Or_More_Races,2275,0.0033,HISPANIC OR LATINO ORIGIN BY RACE
10,Household Type,B11001,B11001_001,HouseholdType,296014,1,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_002,HouseholdType_Family_Households,142070,0.4799,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_003,HouseholdType_Family_Households_Married_Couple_Family,113880,0.3847,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_004,HouseholdType_Family_Households_Other_Family,28190,0.0952,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_005,HouseholdType_Family_Households_Other_Family_Male_Householder_No_Spouse_Present,7927,0.0268,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_006,HouseholdType_Family_Households_Other_Family_Female_Householder_No_Spouse_Present,20263,0.0685,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_007,HouseholdType_Nonfamily_Households,153944,0.5201,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_008,HouseholdType_Nonfamily_Households_Householder_Living_Alone,122978,0.4154,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_009,HouseholdType_Nonfamily_Households_Householder_Not_Living_Alone,30966,0.1046,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Marital Status,B12001,B12001_001,MaritalStatus,572836,1,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_002,MaritalStatus_Male,275304,0.4806,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_003,MaritalStatus_Male_Never_Married,122490,0.2138,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_004,MaritalStatus_Male_Now_Married,132984,0.2322,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_005,MaritalStatus_Male_Now_Married_Married_Spouse_Present,118831,0.2074,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_006,MaritalStatus_Male_Now_Married_Married_Spouse_Absent,14153,0.0247,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_007,MaritalStatus_Male_Now_Married_Married_Spouse_Absent_Separated,3477,0.0061,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_008,MaritalStatus_Male_Now_Married_Married_Spouse_Absent_Other,10676,0.0186,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_009,MaritalStatus_Male_Widowed,4465,0.0078,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_010,MaritalStatus_Male_Divorced,15365,0.0268,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_011,MaritalStatus_Female,297532,0.5194,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_012,MaritalStatus_Female_Never_Married,121925,0.2128,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_013,MaritalStatus_Female_Now_Married,130925,0.2286,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_014,MaritalStatus_Female_Now_Married_Married_Spouse_Present,115596,0.2018,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_015,MaritalStatus_Female_Now_Married_Married_Spouse_Absent,15329,0.0268,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_016,MaritalStatus_Female_Now_Married_Married_Spouse_Absent_Separated,5432,0.0095,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_017,MaritalStatus_Female_Now_Married_Married_Spouse_Absent_Other,9897,0.0173,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_018,MaritalStatus_Female_Widowed,19050,0.0333,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_019,MaritalStatus_Female_Divorced,25632,0.0447,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Education,B15003,B15003_001,Education,494990,1,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_002,Education_No_Schooling_Completed,10926,0.0221,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_003,Education_Nursery_School,69,1e-4,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_004,Education_Kindergarten,123,2e-4,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_005,Education_1st_Grade,285,6e-4,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_006,Education_2nd_Grade,462,9e-4,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_007,Education_3rd_Grade,1483,0.003,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_008,Education_4th_Grade,1116,0.0023,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_009,Education_5th_Grade,2960,0.006,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_010,Education_6th_Grade,5707,0.0115,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_011,Education_7th_Grade,1609,0.0033,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_012,Education_8th_Grade,4947,0.01,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_013,Education_9th_Grade,5557,0.0112,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_014,Education_10th_Grade,3943,0.008,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_015,Education_11th_Grade,3638,0.0073,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_016,Education_12th_Grade_No_Diploma,11485,0.0232,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_017,Education_Regular_High_School_Diploma,59014,0.1192,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_018,Education_Ged_Or_Alternative_Credential,7643,0.0154,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_019,Education_Some_College_Less_Than_1_Year,10663,0.0215,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_020,Education_Some_College_1_Or_More_Years_No_Degree,30858,0.0623,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_021,Education_Associates_Degree,18510,0.0374,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_022,Education_Bachelors_Degree,157365,0.3179,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_023,Education_Masters_Degree,98641,0.1993,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_024,Education_Professional_School_Degree,38921,0.0786,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_025,Education_Doctorate_Degree,19065,0.0385,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Language,B16001,B16001_001,Language,640739,1,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_002,Language_Speak_Only_English,353840,0.5522,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_003,Language_Spanish_Or_Spanish_Creole,66800,0.1043,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_004,Language_Spanish_Or_Spanish_Creole_Speak_English_Very_Well,37749,0.0589,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_005,Language_Spanish_Or_Spanish_Creole_Speak_English_Less_Than_Very_Well,29051,0.0453,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_006,Language_French_Incl._Patois_Cajun,9811,0.0153,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_007,Language_French_Incl._Patois_Cajun_Speak_English_Very_Well,8372,0.0131,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_008,Language_French_Incl._Patois_Cajun_Speak_English_Less_Than_Very_Well,1439,0.0022,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_009,Language_French_Creole,1000,0.0016,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_010,Language_French_Creole_Speak_English_Very_Well,638,0.001,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_011,Language_French_Creole_Speak_English_Less_Than_Very_Well,362,6e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_012,Language_Italian,9125,0.0142,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_013,Language_Italian_Speak_English_Very_Well,5236,0.0082,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_014,Language_Italian_Speak_English_Less_Than_Very_Well,3889,0.0061,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_015,Language_Portuguese_Or_Portuguese_Creole,2737,0.0043,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_016,Language_Portuguese_Or_Portuguese_Creole_Speak_English_Very_Well,1845,0.0029,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_017,Language_Portuguese_Or_Portuguese_Creole_Speak_English_Less_Than_Very_Well,892,0.0014,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_018,Language_German,3604,0.0056,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_019,Language_German_Speak_English_Very_Well,3245,0.0051,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_020,Language_German_Speak_English_Less_Than_Very_Well,359,6e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_021,Language_Yiddish,41025,0.064,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_022,Language_Yiddish_Speak_English_Very_Well,28449,0.0444,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_023,Language_Yiddish_Speak_English_Less_Than_Very_Well,12576,0.0196,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_024,Language_Other_West_Germanic_Languages,854,0.0013,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_025,Language_Other_West_Germanic_Languages_Speak_English_Very_Well,738,0.0012,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_026,Language_Other_West_Germanic_Languages_Speak_English_Less_Than_Very_Well,116,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_027,Language_Scandinavian_Languages,1054,0.0016,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_028,Language_Scandinavian_Languages_Speak_English_Very_Well,998,0.0016,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_029,Language_Scandinavian_Languages_Speak_English_Less_Than_Very_Well,56,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_030,Language_Greek,1480,0.0023,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_031,Language_Greek_Speak_English_Very_Well,1279,0.002,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_032,Language_Greek_Speak_English_Less_Than_Very_Well,201,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_033,Language_Russian,21667,0.0338,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_034,Language_Russian_Speak_English_Very_Well,7663,0.012,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_035,Language_Russian_Speak_English_Less_Than_Very_Well,14004,0.0219,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_036,Language_Polish,5831,0.0091,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_037,Language_Polish_Speak_English_Very_Well,2690,0.0042,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_038,Language_Polish_Speak_English_Less_Than_Very_Well,3141,0.0049,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_039,Language_Serbo_Croatian,1215,0.0019,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_040,Language_Serbo_Croatian_Speak_English_Very_Well,702,0.0011,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_041,Language_Serbo_Croatian_Speak_English_Less_Than_Very_Well,513,8e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_042,Language_Other_Slavic_Languages,2161,0.0034,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_043,Language_Other_Slavic_Languages_Speak_English_Very_Well,999,0.0016,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_044,Language_Other_Slavic_Languages_Speak_English_Less_Than_Very_Well,1162,0.0018,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_045,Language_Armenian,347,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_046,Language_Armenian_Speak_English_Very_Well,263,4e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_047,Language_Armenian_Speak_English_Less_Than_Very_Well,84,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_048,Language_Persian,1339,0.0021,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_049,Language_Persian_Speak_English_Very_Well,809,0.0013,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_050,Language_Persian_Speak_English_Less_Than_Very_Well,530,8e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_051,Language_Gujarati,983,0.0015,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_052,Language_Gujarati_Speak_English_Very_Well,933,0.0015,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_053,Language_Gujarati_Speak_English_Less_Than_Very_Well,50,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_054,Language_Hindi,3329,0.0052,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
