stateSenate,demo,table,name,label,value,percentage,concept
10,Age,B01001,B01001_042,Age_Female_60_And_61_Years,4572,0.014,SEX BY AGE
10,Age,B01001,B01001_043,Age_Female_62_To_64_Years,5654,0.0173,SEX BY AGE
10,Age,B01001,B01001_044,Age_Female_65_And_66_Years,4212,0.0129,SEX BY AGE
10,Age,B01001,B01001_045,Age_Female_67_To_69_Years,4377,0.0134,SEX BY AGE
10,Age,B01001,B01001_046,Age_Female_70_To_74_Years,5977,0.0182,SEX BY AGE
10,Age,B01001,B01001_047,Age_Female_75_To_79_Years,4737,0.0145,SEX BY AGE
10,Age,B01001,B01001_048,Age_Female_80_To_84_Years,2768,0.0085,SEX BY AGE
10,Age,B01001,B01001_049,Age_Female_85_Years_And_Over,3181,0.0097,SEX BY AGE
10,Median Age,B01002,B01002_001,MedianAge_Age,37.55744680851064,NA,MEDIAN AGE BY SEX
10,Median Age,B01002,B01002_002,MedianAge_Age_Male,35.47446808510638,NA,MEDIAN AGE BY SEX
10,Median Age,B01002,B01002_003,MedianAge_Age_Female,39.41595744680851,NA,MEDIAN AGE BY SEX
10,Total Population,B01003,B01003_001,TotalPopulation,327561,1,TOTAL POPULATION
10,Race,B03002,B03002_001,Race,327561,1,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_002,Race_Not_Hispanic_Or_Latino,259434,0.792,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_003,Race_Not_Hispanic_Or_Latino_White_Alone,21073,0.0643,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_004,Race_Not_Hispanic_Or_Latino_Black_Or_African_American_Alone,153650,0.4691,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_005,Race_Not_Hispanic_Or_Latino_American_Indian_And_Alaska_Native_Alone,1481,0.0045,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_006,Race_Not_Hispanic_Or_Latino_Asian_Alone,51300,0.1566,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_007,Race_Not_Hispanic_Or_Latino_Native_Hawaiian_And_Other_Pacific_Islander_Alone,246,8e-4,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_008,Race_Not_Hispanic_Or_Latino_Some_Other_Race_Alone,21374,0.0653,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_009,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races,10310,0.0315,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_010,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Including_Some_Other_Race,4273,0.013,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_011,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Excluding_Some_Other_Race_And_Three_Or_More_Races,6037,0.0184,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_012,Race_Hispanic_Or_Latino,68127,0.208,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_013,Race_Hispanic_Or_Latino_White_Alone,26984,0.0824,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_014,Race_Hispanic_Or_Latino_Black_Or_African_American_Alone,6177,0.0189,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_015,Race_Hispanic_Or_Latino_American_Indian_And_Alaska_Native_Alone,786,0.0024,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_016,Race_Hispanic_Or_Latino_Asian_Alone,359,0.0011,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_017,Race_Hispanic_Or_Latino_Native_Hawaiian_And_Other_Pacific_Islander_Alone,0,0,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_018,Race_Hispanic_Or_Latino_Some_Other_Race_Alone,30707,0.0937,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_019,Race_Hispanic_Or_Latino_Two_Or_More_Races,3114,0.0095,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_020,Race_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Including_Some_Other_Race,1932,0.0059,HISPANIC OR LATINO ORIGIN BY RACE
10,Race,B03002,B03002_021,Race_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Excluding_Some_Other_Race_And_Three_Or_More_Races,1182,0.0036,HISPANIC OR LATINO ORIGIN BY RACE
10,Household Type,B11001,B11001_001,HouseholdType,95287,1,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_002,HouseholdType_Family_Households,73334,0.7696,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_003,HouseholdType_Family_Households_Married_Couple_Family,41356,0.434,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_004,HouseholdType_Family_Households_Other_Family,31978,0.3356,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_005,HouseholdType_Family_Households_Other_Family_Male_Householder_No_Spouse_Present,7747,0.0813,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_006,HouseholdType_Family_Households_Other_Family_Female_Householder_No_Spouse_Present,24231,0.2543,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_007,HouseholdType_Nonfamily_Households,21953,0.2304,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_008,HouseholdType_Nonfamily_Households_Householder_Living_Alone,18483,0.194,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Household Type,B11001,B11001_009,HouseholdType_Nonfamily_Households_Householder_Not_Living_Alone,3470,0.0364,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
10,Marital Status,B12001,B12001_001,MaritalStatus,266176,1,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_002,MaritalStatus_Male,123749,0.4649,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_003,MaritalStatus_Male_Never_Married,54264,0.2039,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_004,MaritalStatus_Male_Now_Married,59203,0.2224,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_005,MaritalStatus_Male_Now_Married_Married_Spouse_Present,47446,0.1783,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_006,MaritalStatus_Male_Now_Married_Married_Spouse_Absent,11757,0.0442,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_007,MaritalStatus_Male_Now_Married_Married_Spouse_Absent_Separated,3126,0.0117,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_008,MaritalStatus_Male_Now_Married_Married_Spouse_Absent_Other,8631,0.0324,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_009,MaritalStatus_Male_Widowed,2466,0.0093,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_010,MaritalStatus_Male_Divorced,7816,0.0294,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_011,MaritalStatus_Female,142427,0.5351,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_012,MaritalStatus_Female_Never_Married,57086,0.2145,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_013,MaritalStatus_Female_Now_Married,58872,0.2212,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_014,MaritalStatus_Female_Now_Married_Married_Spouse_Present,45133,0.1696,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_015,MaritalStatus_Female_Now_Married_Married_Spouse_Absent,13739,0.0516,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_016,MaritalStatus_Female_Now_Married_Married_Spouse_Absent_Separated,5771,0.0217,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_017,MaritalStatus_Female_Now_Married_Married_Spouse_Absent_Other,7968,0.0299,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_018,MaritalStatus_Female_Widowed,12540,0.0471,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Marital Status,B12001,B12001_019,MaritalStatus_Female_Divorced,13929,0.0523,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
10,Education,B15003,B15003_001,Education,222349,1,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_002,Education_No_Schooling_Completed,7361,0.0331,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_003,Education_Nursery_School,121,5e-4,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_004,Education_Kindergarten,101,5e-4,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_005,Education_1st_Grade,249,0.0011,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_006,Education_2nd_Grade,466,0.0021,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_007,Education_3rd_Grade,1383,0.0062,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_008,Education_4th_Grade,1311,0.0059,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_009,Education_5th_Grade,2333,0.0105,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_010,Education_6th_Grade,3874,0.0174,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_011,Education_7th_Grade,1542,0.0069,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_012,Education_8th_Grade,4034,0.0181,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_013,Education_9th_Grade,3646,0.0164,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_014,Education_10th_Grade,4450,0.02,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_015,Education_11th_Grade,4930,0.0222,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_016,Education_12th_Grade_No_Diploma,10126,0.0455,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_017,Education_Regular_High_School_Diploma,54133,0.2435,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_018,Education_Ged_Or_Alternative_Credential,14685,0.066,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_019,Education_Some_College_Less_Than_1_Year,9210,0.0414,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_020,Education_Some_College_1_Or_More_Years_No_Degree,32513,0.1462,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_021,Education_Associates_Degree,16671,0.075,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_022,Education_Bachelors_Degree,33859,0.1523,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_023,Education_Masters_Degree,12621,0.0568,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_024,Education_Professional_School_Degree,1843,0.0083,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Education,B15003,B15003_025,Education_Doctorate_Degree,887,0.004,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
10,Language,B16001,B16001_001,Language,303643,1,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_002,Language_Speak_Only_English,209479,0.6899,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_003,Language_Spanish_Or_Spanish_Creole,52165,0.1718,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_004,Language_Spanish_Or_Spanish_Creole_Speak_English_Very_Well,31291,0.1031,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_005,Language_Spanish_Or_Spanish_Creole_Speak_English_Less_Than_Very_Well,20874,0.0687,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_006,Language_French_Incl._Patois_Cajun,1907,0.0063,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_007,Language_French_Incl._Patois_Cajun_Speak_English_Very_Well,1443,0.0048,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_008,Language_French_Incl._Patois_Cajun_Speak_English_Less_Than_Very_Well,464,0.0015,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_009,Language_French_Creole,6615,0.0218,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_010,Language_French_Creole_Speak_English_Very_Well,4496,0.0148,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_011,Language_French_Creole_Speak_English_Less_Than_Very_Well,2119,0.007,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_012,Language_Italian,653,0.0022,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_013,Language_Italian_Speak_English_Very_Well,378,0.0012,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_014,Language_Italian_Speak_English_Less_Than_Very_Well,275,9e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_015,Language_Portuguese_Or_Portuguese_Creole,497,0.0016,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_016,Language_Portuguese_Or_Portuguese_Creole_Speak_English_Very_Well,338,0.0011,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_017,Language_Portuguese_Or_Portuguese_Creole_Speak_English_Less_Than_Very_Well,159,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_018,Language_German,210,7e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_019,Language_German_Speak_English_Very_Well,186,6e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_020,Language_German_Speak_English_Less_Than_Very_Well,24,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_021,Language_Yiddish,148,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_022,Language_Yiddish_Speak_English_Very_Well,142,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_023,Language_Yiddish_Speak_English_Less_Than_Very_Well,6,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_024,Language_Other_West_Germanic_Languages,335,0.0011,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_025,Language_Other_West_Germanic_Languages_Speak_English_Very_Well,284,9e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_026,Language_Other_West_Germanic_Languages_Speak_English_Less_Than_Very_Well,51,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_027,Language_Scandinavian_Languages,18,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_028,Language_Scandinavian_Languages_Speak_English_Very_Well,7,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_029,Language_Scandinavian_Languages_Speak_English_Less_Than_Very_Well,11,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_030,Language_Greek,315,0.001,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_031,Language_Greek_Speak_English_Very_Well,282,9e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_032,Language_Greek_Speak_English_Less_Than_Very_Well,33,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_033,Language_Russian,1283,0.0042,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_034,Language_Russian_Speak_English_Very_Well,251,8e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_035,Language_Russian_Speak_English_Less_Than_Very_Well,1032,0.0034,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_036,Language_Polish,691,0.0023,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_037,Language_Polish_Speak_English_Very_Well,307,0.001,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_038,Language_Polish_Speak_English_Less_Than_Very_Well,384,0.0013,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_039,Language_Serbo_Croatian,70,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_040,Language_Serbo_Croatian_Speak_English_Very_Well,70,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_041,Language_Serbo_Croatian_Speak_English_Less_Than_Very_Well,0,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_042,Language_Other_Slavic_Languages,141,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_043,Language_Other_Slavic_Languages_Speak_English_Very_Well,56,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_044,Language_Other_Slavic_Languages_Speak_English_Less_Than_Very_Well,85,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_045,Language_Armenian,5,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_046,Language_Armenian_Speak_English_Very_Well,0,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_047,Language_Armenian_Speak_English_Less_Than_Very_Well,5,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_048,Language_Persian,204,7e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_049,Language_Persian_Speak_English_Very_Well,135,4e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_050,Language_Persian_Speak_English_Less_Than_Very_Well,69,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_051,Language_Gujarati,99,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_052,Language_Gujarati_Speak_English_Very_Well,81,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_053,Language_Gujarati_Speak_English_Less_Than_Very_Well,18,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
10,Language,B16001,B16001_054,Language_Hindi,2067,0.0068,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
