council,demo,table,name,label,value,percentage,concept
1,Household Type,B11001,B11001_004,HouseholdType_Family_Households_Other_Family,8602,0.109,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_005,HouseholdType_Family_Households_Other_Family_Male_Householder_No_Spouse_Present,2562,0.0325,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_006,HouseholdType_Family_Households_Other_Family_Female_Householder_No_Spouse_Present,6040,0.0765,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_007,HouseholdType_Nonfamily_Households,43072,0.5456,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_008,HouseholdType_Nonfamily_Households_Householder_Living_Alone,33151,0.4199,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_009,HouseholdType_Nonfamily_Households_Householder_Not_Living_Alone,9921,0.1257,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Marital Status,B12001,B12001_001,MaritalStatus,152431,1,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_002,MaritalStatus_Male,73014,0.479,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_003,MaritalStatus_Male_Never_Married,34181,0.2242,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_004,MaritalStatus_Male_Now_Married,32876,0.2157,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_005,MaritalStatus_Male_Now_Married_Married_Spouse_Present,29364,0.1926,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_006,MaritalStatus_Male_Now_Married_Married_Spouse_Absent,3512,0.023,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_007,MaritalStatus_Male_Now_Married_Married_Spouse_Absent_Separated,810,0.0053,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_008,MaritalStatus_Male_Now_Married_Married_Spouse_Absent_Other,2702,0.0177,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_009,MaritalStatus_Male_Widowed,1678,0.011,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_010,MaritalStatus_Male_Divorced,4279,0.0281,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_011,MaritalStatus_Female,79417,0.521,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_012,MaritalStatus_Female_Never_Married,34982,0.2295,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_013,MaritalStatus_Female_Now_Married,32052,0.2103,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_014,MaritalStatus_Female_Now_Married_Married_Spouse_Present,28010,0.1838,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_015,MaritalStatus_Female_Now_Married_Married_Spouse_Absent,4042,0.0265,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_016,MaritalStatus_Female_Now_Married_Married_Spouse_Absent_Separated,1429,0.0094,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_017,MaritalStatus_Female_Now_Married_Married_Spouse_Absent_Other,2613,0.0171,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_018,MaritalStatus_Female_Widowed,6122,0.0402,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Marital Status,B12001,B12001_019,MaritalStatus_Female_Divorced,6261,0.0411,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
1,Education,B15003,B15003_001,Education,133342,1,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_002,Education_No_Schooling_Completed,4508,0.0338,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_003,Education_Nursery_School,20,1e-4,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_004,Education_Kindergarten,76,6e-4,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_005,Education_1st_Grade,259,0.0019,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_006,Education_2nd_Grade,238,0.0018,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_007,Education_3rd_Grade,903,0.0068,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_008,Education_4th_Grade,821,0.0062,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_009,Education_5th_Grade,601,0.0045,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_010,Education_6th_Grade,4789,0.0359,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_011,Education_7th_Grade,721,0.0054,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_012,Education_8th_Grade,1625,0.0122,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_013,Education_9th_Grade,3606,0.027,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_014,Education_10th_Grade,1272,0.0095,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_015,Education_11th_Grade,1107,0.0083,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_016,Education_12th_Grade_No_Diploma,3871,0.029,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_017,Education_Regular_High_School_Diploma,11343,0.0851,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_018,Education_Ged_Or_Alternative_Credential,2152,0.0161,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_019,Education_Some_College_Less_Than_1_Year,1883,0.0141,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_020,Education_Some_College_1_Or_More_Years_No_Degree,6926,0.0519,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_021,Education_Associates_Degree,3906,0.0293,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_022,Education_Bachelors_Degree,47063,0.3529,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_023,Education_Masters_Degree,22184,0.1664,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_024,Education_Professional_School_Degree,9313,0.0698,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Education,B15003,B15003_025,Education_Doctorate_Degree,4155,0.0312,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
1,Language,B16001,B16001_001,Language,166369,1,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_002,Language_Speak_Only_English,93200,0.5602,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_003,Language_Spanish_Or_Spanish_Creole,16222,0.0975,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_004,Language_Spanish_Or_Spanish_Creole_Speak_English_Very_Well,11314,0.068,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_005,Language_Spanish_Or_Spanish_Creole_Speak_English_Less_Than_Very_Well,4908,0.0295,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_006,Language_French_Incl._Patois_Cajun,3158,0.019,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_007,Language_French_Incl._Patois_Cajun_Speak_English_Very_Well,2728,0.0164,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_008,Language_French_Incl._Patois_Cajun_Speak_English_Less_Than_Very_Well,430,0.0026,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_009,Language_French_Creole,84,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_010,Language_French_Creole_Speak_English_Very_Well,52,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_011,Language_French_Creole_Speak_English_Less_Than_Very_Well,32,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_012,Language_Italian,898,0.0054,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_013,Language_Italian_Speak_English_Very_Well,751,0.0045,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_014,Language_Italian_Speak_English_Less_Than_Very_Well,147,9e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_015,Language_Portuguese_Or_Portuguese_Creole,507,0.003,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_016,Language_Portuguese_Or_Portuguese_Creole_Speak_English_Very_Well,343,0.0021,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_017,Language_Portuguese_Or_Portuguese_Creole_Speak_English_Less_Than_Very_Well,164,0.001,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_018,Language_German,763,0.0046,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_019,Language_German_Speak_English_Very_Well,680,0.0041,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_020,Language_German_Speak_English_Less_Than_Very_Well,83,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_021,Language_Yiddish,338,0.002,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_022,Language_Yiddish_Speak_English_Very_Well,315,0.0019,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_023,Language_Yiddish_Speak_English_Less_Than_Very_Well,23,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_024,Language_Other_West_Germanic_Languages,126,8e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_025,Language_Other_West_Germanic_Languages_Speak_English_Very_Well,106,6e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_026,Language_Other_West_Germanic_Languages_Speak_English_Less_Than_Very_Well,20,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_027,Language_Scandinavian_Languages,456,0.0027,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_028,Language_Scandinavian_Languages_Speak_English_Very_Well,440,0.0026,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_029,Language_Scandinavian_Languages_Speak_English_Less_Than_Very_Well,16,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_030,Language_Greek,163,0.001,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_031,Language_Greek_Speak_English_Very_Well,163,0.001,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_032,Language_Greek_Speak_English_Less_Than_Very_Well,0,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_033,Language_Russian,1375,0.0083,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_034,Language_Russian_Speak_English_Very_Well,972,0.0058,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_035,Language_Russian_Speak_English_Less_Than_Very_Well,403,0.0024,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_036,Language_Polish,277,0.0017,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_037,Language_Polish_Speak_English_Very_Well,252,0.0015,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_038,Language_Polish_Speak_English_Less_Than_Very_Well,25,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_039,Language_Serbo_Croatian,76,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_040,Language_Serbo_Croatian_Speak_English_Very_Well,72,4e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_041,Language_Serbo_Croatian_Speak_English_Less_Than_Very_Well,4,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_042,Language_Other_Slavic_Languages,216,0.0013,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_043,Language_Other_Slavic_Languages_Speak_English_Very_Well,204,0.0012,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_044,Language_Other_Slavic_Languages_Speak_English_Less_Than_Very_Well,12,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_045,Language_Armenian,40,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_046,Language_Armenian_Speak_English_Very_Well,40,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_047,Language_Armenian_Speak_English_Less_Than_Very_Well,0,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_048,Language_Persian,308,0.0019,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_049,Language_Persian_Speak_English_Very_Well,148,9e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_050,Language_Persian_Speak_English_Less_Than_Very_Well,160,0.001,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_051,Language_Gujarati,283,0.0017,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_052,Language_Gujarati_Speak_English_Very_Well,255,0.0015,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_053,Language_Gujarati_Speak_English_Less_Than_Very_Well,28,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
1,Language,B16001,B16001_054,Language_Hindi,940,0.0057,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
