borough,demo,table,name,label,value,percentage,concept
Bronx,Language,B16001,B16001_007,Language_French_Incl._Patois_Cajun_Speak_English_Very_Well,8454,0.0064,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_008,Language_French_Incl._Patois_Cajun_Speak_English_Less_Than_Very_Well,6002,0.0045,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_009,Language_French_Creole,4719,0.0036,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_010,Language_French_Creole_Speak_English_Very_Well,3580,0.0027,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_011,Language_French_Creole_Speak_English_Less_Than_Very_Well,1139,9e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_012,Language_Italian,9445,0.0072,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_013,Language_Italian_Speak_English_Very_Well,5869,0.0044,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_014,Language_Italian_Speak_English_Less_Than_Very_Well,3576,0.0027,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_015,Language_Portuguese_Or_Portuguese_Creole,993,8e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_016,Language_Portuguese_Or_Portuguese_Creole_Speak_English_Very_Well,781,6e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_017,Language_Portuguese_Or_Portuguese_Creole_Speak_English_Less_Than_Very_Well,212,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_018,Language_German,780,6e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_019,Language_German_Speak_English_Very_Well,600,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_020,Language_German_Speak_English_Less_Than_Very_Well,180,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_021,Language_Yiddish,343,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_022,Language_Yiddish_Speak_English_Very_Well,236,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_023,Language_Yiddish_Speak_English_Less_Than_Very_Well,107,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_024,Language_Other_West_Germanic_Languages,408,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_025,Language_Other_West_Germanic_Languages_Speak_English_Very_Well,361,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_026,Language_Other_West_Germanic_Languages_Speak_English_Less_Than_Very_Well,47,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_027,Language_Scandinavian_Languages,60,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_028,Language_Scandinavian_Languages_Speak_English_Very_Well,60,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_029,Language_Scandinavian_Languages_Speak_English_Less_Than_Very_Well,0,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_030,Language_Greek,1940,0.0015,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_031,Language_Greek_Speak_English_Very_Well,1395,0.0011,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_032,Language_Greek_Speak_English_Less_Than_Very_Well,545,4e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_033,Language_Russian,2623,0.002,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_034,Language_Russian_Speak_English_Very_Well,1031,8e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_035,Language_Russian_Speak_English_Less_Than_Very_Well,1592,0.0012,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_036,Language_Polish,1006,8e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_037,Language_Polish_Speak_English_Very_Well,583,4e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_038,Language_Polish_Speak_English_Less_Than_Very_Well,423,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_039,Language_Serbo_Croatian,1316,0.001,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_040,Language_Serbo_Croatian_Speak_English_Very_Well,696,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_041,Language_Serbo_Croatian_Speak_English_Less_Than_Very_Well,620,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_042,Language_Other_Slavic_Languages,1415,0.0011,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_043,Language_Other_Slavic_Languages_Speak_English_Very_Well,778,6e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_044,Language_Other_Slavic_Languages_Speak_English_Less_Than_Very_Well,637,5e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_045,Language_Armenian,163,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_046,Language_Armenian_Speak_English_Very_Well,101,1e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_047,Language_Armenian_Speak_English_Less_Than_Very_Well,62,0,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_048,Language_Persian,455,3e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_049,Language_Persian_Speak_English_Very_Well,318,2e-4,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
